CBG_ID_v,Income_v,Wp_v,Pbb_v,Upp_v
G13026309601001,,,,
G13029300103002,55721.0,0.8132591051960572,0.0852842804610686,0.0010060362122432
G13023100103003,69242.99259259259,0.5783538700149989,0.2613473949343625,0.026366140843329
G13023100103002,73815.32038834952,0.6187804105090451,0.2649960348336556,0.0253961327123737
G13023100103001,73216.53305785124,0.5956166016521863,0.2519946534017368,0.0257300534538143
G13025501606001,78100.7017208413,0.5894155068629782,0.2918206882017698,0.0229543549509537
G13007701705033,79801.57075023741,0.5713832730311226,0.309856635127649,0.0233958223175715
G13029300102021,,,,
G13023100104002,72084.8705882353,0.6218938482911895,0.2695641955438485,0.0255656715621498
G13023100101023,73237.15662650602,0.6358696027948654,0.2703376947927407,0.0252903340352546
G13023100101012,72979.87755102041,0.6334204058218708,0.27732391208905,0.0239338705933552
G13023100101013,70169.86164623467,0.5999248027950836,0.2656361409855593,0.0228934444405086
G13023100102001,71736.57314629259,0.5814722980155155,0.2667397624584612,0.0216367346211074
G13023100102002,70688.73059360731,0.5805108224687759,0.2531371109968535,0.0235098574366643
G13025501612011,65303.6641221374,0.5403058228239294,0.2426761560123514,0.0258892715068361
G13025501607022,63758.46575342466,0.5469538620744665,0.2230815953699695,0.027977011778467
G13025501607021,59388.36387434555,0.4989331308566859,0.1989470128243028,0.0299161582737161
G13025501605002,68294.4182851729,0.5206177450354635,0.255373674135643,0.0295962856053605
G13025501611002,66674.08844339622,0.5707918712725465,0.2606251966996589,0.0286880036323368
G13025501612024,65206.90117252932,0.5450459319587883,0.2410529783603582,0.0295765919925864
G13025501607011,63816.29583975347,0.5438498163381783,0.2260084992156138,0.0283950288224605
G13025501612022,67393.36886993604,0.5430729733986978,0.252159845545706,0.0300299235340545
G13025501607013,66612.26160567996,0.5422745574372794,0.2486764356745063,0.0296726880765575
G13025501611001,68650.27622377622,0.5714067719638612,0.2572019445380843,0.026369521130769
