,GEOID,r_income,r_pbb,r_upr,r_wr
0,1.3264E+11,61484,0.16912971807668772,0.031722054,0.47297296658144644
1,1.3293E+11,71823,0.11519078390791372,0.009973404,0.8549345965818395
2,1.3231E+11,59074,0.13766519672174893,0.012096774,0.8204592816235984
3,1.3231E+11,94250,0.16467780036568497,0.043999999,0.9175438516004926
4,1.3231E+11,80556,0.19931740478281634,0.016625615661172318,0.7928836920186739
5,1.32552E+11,49468,0.22877122648580195,0.013371537599125715,0.8627986289228763
6,1.30772E+11,97708,0.1794510895182893,0.005747126,0.8787726313945039
7,1.3293E+11,63549,0.31468531101765373,0.011796733105292802,0.9070055740421229
8,1.3231E+11,108833,0.34287867111621195,0.079757975,0.9079382529882125
9,1.3231E+11,57969,0.22146738829528007,0.050062578,0.6697782885673479
10,1.3231E+11,65781,0.12401263725108502,0,0.7829861043143568
11,1.3231E+11,89154,0.26645767607433113,0.037790697,0.8813559239043699
12,1.3231E+11,96250,0.22236586798729238,0.011242603483771577,0.9107763580116788
13,1.3231E+11,70987,0.2238398523763435,0,0.9170471771914218
14,1.32552E+11,56405,0.094470045,0.071856287,0.6030864160303308
15,1.32552E+11,0,0.26765798759000026,0.095611284,0.6563916531605472
16,1.32552E+11,104635,0.094399999,0,0.5182926776596273
17,1.32552E+11,85000,0.3305322097989523,0,0.4641040109434482
18,1.32552E+11,51824,0.22154779633463131,0.006587615,0.618181812
19,1.32552E+11,87607,0.4037122938614672,0,0.7670233425728435
20,1.32552E+11,0,0.10599078178201564,0.02453271,0.2698993570914972
21,1.32552E+11,20712,0.063368055,0,0.20994879144148654
22,1.32552E+11,68650,0.12318477654889946,0.012820512769148586,0.48246013447626357
23,1.32552E+11,61419,0.3560794000486427,0.010857763182869021,0.9087893788657597
24,1.32552E+11,22876,0.039019963,0.16996699529730203,0.17620900402329626
25,1.32552E+11,34866,0.041970802,0.072755417,0.6495798264741192
26,1.32552E+11,0,0.10455763794751642,0.096491226,0.18523878168974267
27,1.32552E+11,35391,0,0.025742573747671808,0.2439678251478844
28,1.31451E+11,81073,0.147685524,0.098090849,0.7682119159048049
29,1.3264E+11,57321,0.17386934498623774,0,0.43915002936799724
30,1.32E+11,40682,0.1827242464211214,0.024064170479567635,0.5444305313588169
31,1.32E+11,52232,0.11855669899387115,0.028610353833646407,0.6864406721488079
32,1.32E+11,38492,0.3102998655762729,0.038641685730191035,0.40657894201869815
33,1.32E+11,0,0,0,0.13643659492076093
