,GEOID,r_income,r_wr,r_pbb,r_upr
0,2.71311E+11,114583,0.9044006024056621,0.4790928385606461,0.011818778648596331
1,2.71311E+11,141250,0.9482968312147395,0.6460626532932883,0.004597701
2,2.70491E+11,99464,0.9425566266783445,0.32454128068186605,0.033707865
3,2.70491E+11,109250,0.966005652,0.3633952158250606,0.007211538
4,2.70491E+11,77024,0.9414364588870914,0.2769701585541686,0.010431154308545519
5,2.70491E+11,91500,0.9281575844255064,0.2263701332297845,0
6,2.708E+11,101625,0.9573240950712331,0.2472067,0.007220217
7,2.708E+11,93750,0.9427443144842614,0.2742346903796596,0.043023255313683076
8,2.708E+11,52500,0.8079161722012087,0.22477063704654504,0.001631321
9,2.71311E+11,120735,0.9193976930053246,0.2985074607494649,0.04
10,2.71391E+11,142500,0.8700906306858409,0.3975983962801975,0
11,2.71391E+11,109773,0.9265175570843841,0.5490195958819261,0
12,2.71311E+11,60179,0.8974918113686826,0.44569816,0.006711409
13,2.71311E+11,41037,0.3115044220220848,0.14285714140975542,0.086455331
14,2.71311E+11,89583,0.6786542897190475,0.6627634505207624,0.031629275
15,2.71311E+11,73571,0.8080072719926545,0.5060605983930213,0
16,2.70371E+11,121800,0.8977002307874684,0.6962332843714061,0
17,2.70371E+11,99706,0.9484924503958235,0.35434411662105425,0.027993778724824593
18,2.708E+11,108068,0.9572471274387533,0.29701492315660505,0.027851458701250276
19,2.71311E+11,115208,0.9575021599522796,0.20828105133900815,0.012401352735046757
20,2.708E+11,102656,0.9395184912535615,0.3060374718526199,0.010120177039088064
21,2.708E+11,138074,0.935071842,0.3825363785599129,0.03551251
22,2.71391E+11,78846,0.9154135252310759,0.4197994934862219,0
23,2.71391E+11,100855,0.9302670485123584,0.3033707779952029,0.17782909520025186
24,2.71391E+11,102500,0.9108159306374201,0.3192360120158798,0
25,2.71391E+11,0,0.969823091,0.2527233060408866,0
26,2.71391E+11,150962,0.9420889251076636,0.3549060468704375,0.040515653029177666
27,2.71391E+11,102500,0.9457477867192406,0.2670682677295529,0.007104796
28,2.71391E+11,85938,0.8799999918139536,0.2898550640621721,0
29,2.71391E+11,99135,0.8753387454802282,0.3523809481859411,0.006944444
30,2.71391E+11,133958,0.8871892840612879,0.334096106,0.010395010286954155
31,2.71391E+11,67542,0.8929127691085951,0.22259136089373555,0
32,2.71432E+11,106250,0.9419023087819933,0.22531089813232702,0.021681997229421834
33,2.71391E+11,177659,0.9086459958511746,0.3866967261928216,0.017357762609857642
34,2.71391E+11,128750,0.9225806302809576,0.4203979994925871,0
35,2.71391E+11,148750,0.897711009,0.41638980712746615,0
36,2.71391E+11,145865,0.9256198283359516,0.4635627483445066,0.0287226
37,2.71391E+11,153831,0.9262294955433129,0.4821428475765308,0.11370716333789466
38,2.70371E+11,0,0.58333309,0,0
39,2.70371E+11,136298,0.7972846404621505,0.6462311492841091,0
40,2.70371E+11,143420,0.8242229279290147,0.7185385559061088,0
41,2.70371E+11,124962,0.8860759434638512,0.4988937997909978,0.044339622
42,2.70371E+11,136866,0.8648379009235018,0.5924369712338717,0.017644006
43,2.71391E+11,98750,0.9118046071112307,0.21444953882511997,0.009930486
44,2.71391E+11,154074,0.9521193017887025,0.3586833103441168,0.019138755797715255
45,2.71391E+11,173548,0.9289446088929508,0.3427109930599617,0.016685206
46,2.71391E+11,133938,0.9404973273490469,0.4462616770296533,0.026530612
47,2.71391E+11,139583,0.9057437274559098,0.3980815252258627,0
48,2.71391E+11,158375,0.8951090106357749,0.3969696929599021,0
49,2.71391E+11,102644,0.8524881466084826,0.23694267214085768,0.046610168997773635
50,2.71391E+11,110833,0.8889739595024965,0.24032825040646835,0
51,2.71391E+11,154145,0.9563269769728222,0.4393939338460362,0
52,2.71391E+11,108429,0.908740348,0.2941176408798815,0.013769363
53,2.70371E+11,0,0.083333299,0,0
54,2.70371E+11,52007,0.9045383270025301,0.38687391387091685,0.018003273027769672
55,2.70371E+11,108625,0.8238636270015497,0.3301886730153081,0.012480499025265226
56,2.70371E+11,142803,0.8582355897081306,0.555953442,0.044331395
57,2.70371E+11,84625,0.8135391875680571,0.2768199207201157,0.085365853
58,2.70371E+11,111583,0.6909090875139603,0.5381414664483948,0.026166098
59,2.70371E+11,102917,0.9119265999270545,0.4196342596762824,0.006477733
60,2.70371E+11,126125,0.9094616565296766,0.36156763133289976,0
61,2.70371E+11,151667,0.8686087938846089,0.7174254260798633,0
62,2.70371E+11,97000,0.8642936500078571,0.40934843612820915,0.022670024903400192
63,2.70371E+11,0,0.7468046211393511,0.41906873149591206,0
64,2.70371E+11,72586,0.7778889405808457,0.33563535679809836,0.007495315
65,2.71391E+11,234875,0.9274965736833339,0.5286160194732985,0.031841652
66,2.71391E+11,158611,0.9472902676518912,0.4361140397453639,0
67,2.71391E+11,161250,0.9132996556119558,0.5576407431951643,0
68,2.70371E+11,175865,0.8941769266843397,0.6515533110700814,0.007482993
69,2.70371E+11,153618,0.8648905721704037,0.4026622229174339,0.030973450870598072
70,2.70371E+11,115250,0.84378265,0.5210300384460941,0.020914019977428196
71,2.70371E+11,229500,0.8094276039769185,0.832369933,0
72,2.70371E+11,80950,0.8426461089104297,0.5770547895800103,0
73,2.71391E+11,116736,0.9397959087775928,0.3605095495476491,0.037796976
74,2.71391E+11,99572,0.884025009,0.2729026010327618,0
75,2.70191E+11,114583,0.9655568201428609,0.3232044154253534,0
76,2.70191E+11,97083,0.9614935710444158,0.29694322711873034,0.002594034
