CBG_ID_v,Income_v,Wp_v,Pbb_v,Upp_v
G27013100702004,,,,
G27013100702003,,,,
G27004900805003,,,,
G27004900805002,,,,
G27004900806001,,,,
G27004900806003,,,,
G27007909501022,,,,
G27007909501023,,,,
G27007909502001,,,,
G27013100701012,,,,
G27013900811031,119727.59945504086,0.7938403990826027,0.4777382629196862,0.0239935823739077
G27013900811034,119326.76470588236,0.7865521156389288,0.4661398813116547,0.0219621470810315
G27013100706022,,,,
G27013100706011,,,,
G27013100705011,,,,
G27013100706012,,,,
G27003700615022,114590.6328125,0.8085348421468882,0.4293486091016194,0.0225172545672384
G27003700615023,114834.04823151126,0.7834172637891382,0.4624722835058801,0.0204074222828204
G27007909501021,,,,
G27013100701011,,,,
G27007909501011,,,,
G27007909501012,,,,
G27013900812005,99528.04453441295,0.8149185187180596,0.4317969145704302,0.0204059893738297
G27013900812003,103677.85317460318,0.8194017433727039,0.427408383325951,0.0200407427901233
G27013900812002,108898.48895899054,0.8143460315026689,0.4621603899499599,0.0192612264755673
G27013900812006,125365.85714285714,0.8012877787859336,0.4872834850548601,0.0242319167538769
G27013900811013,119195.9751552795,0.8222711705566592,0.4806291169807202,0.0179809304491261
G27013900813011,115450.31351351352,0.7479912434153285,0.5062617008396446,0.0248350305763745
G27013900813025,108257.03448275862,0.77092588879752,0.4666904290941314,0.0130872114578204
G27013900813021,114216.2,0.7187927627469691,0.4335783160327913,0.0276926467875515
G27013900813023,118835.9641025641,0.761195563515949,0.4861860045000287,0.0254263119876935
G27013900813012,119888.984375,0.7739411701329766,0.5057818596688826,0.0260718335770628
G27014301701981,,,,
G27013900811032,118441.89930555556,0.7913069290939959,0.4590535408357521,0.0201820315336003
G27013900811035,121371.29485834208,0.7979075043778129,0.4709477389991979,0.0223125804157374
G27013900811033,121190.05367231638,0.8041735686879766,0.4459543707083888,0.0182446548227152
G27013900811021,127605.25407925408,0.8099280038608088,0.4870904858420015,0.0211497929909801
G27013900811022,125699.43971631206,0.7995394782957693,0.4838135805063019,0.021035341462638
G27003700608361,122047.60768452982,0.8006557243480565,0.4680869178594001,0.0214474043943517
G27003700608353,123993.43440736478,0.7855121670863382,0.4899800741536504,0.0226154853485386
G27003700608364,126321.59228441757,0.8029288863992184,0.4939595740493303,0.0194735878819063
G27003700608351,132226.53008962868,0.8083585701474374,0.5290274316106809,0.0169308305239113
G27003700608352,127174.68148148149,0.7978419956768681,0.5037693096965826,0.0206274738819844
G27013900812001,110730.57894736844,0.8106382051358562,0.4495868358404147,0.0199945219282032
G27013900812004,114095.15762273902,0.8045744874220047,0.4744732427907761,0.0195510646312387
G27013900811011,124176.82868525897,0.8243491630573134,0.4856834226789048,0.0193134996889031
G27013900811012,119157.68914956012,0.8045685633668417,0.4893736159333459,0.0205468353546781
G27013900810011,133968.96296296295,0.8018294197631405,0.524461775934476,0.0200525991295399
G27013900808014,115881.77777777778,0.7829961280033643,0.4708478712002265,0.0198315995086181
G27013900808012,116508.14240506328,0.7675354260615448,0.5019463169000881,0.0240287321904576
G27013900808011,113047.92052980133,0.7481802006296873,0.4791781780987228,0.0275687083752772
G27013900810015,138431.63481953292,0.8130943784880551,0.5473433850028847,0.0203960873726348
G27013900810013,132005.59298245615,0.8150526489151717,0.5122819624293449,0.0176080039989404
G27003700608363,121739.29989868288,0.7939608371209597,0.4535582600863088,0.0227375831087209
G27003700609043,121718.33454545456,0.8110405166194063,0.4295967997212847,0.0243263995687932
G27003700609044,120617.68850574712,0.8047085507665851,0.4313329014840685,0.0240344265929077
G27003700609021,123063.41905257678,0.8048342936701309,0.4449179016315626,0.0219064085474845
G27003700609052,123212.79248826292,0.8069928281383573,0.4359399249303846,0.0222621595109163
G27003700608365,121249.44301075269,0.7924218450168251,0.4576188223914033,0.0232834387736629
G27003700609023,121893.84685505924,0.8031688179218136,0.4378293637328159,0.0252099862600823
G27003700609051,121121.33157894736,0.8087013223188121,0.4209197882059945,0.0260228780768928
G27003700609073,123844.47016274864,0.8090211504208336,0.4140814371822398,0.0258076086662499
G27003700609022,128175.17038007863,0.8163253334849063,0.4495306684915005,0.0227153978947909
G27003700608371,130025.20895522388,0.8009294574542357,0.5029749148318962,0.0211045259050781
G27003700608362,128866.5255376344,0.796024309504519,0.5006314355603697,0.0213784082274691
G27013900810022,130040.02707006368,0.8066026234568194,0.5208881492316831,0.0207330063455215
G27013900810023,135784.2125775022,0.813822168957057,0.5304926631291484,0.02054439978422
G27013900810014,138530.98898305086,0.8068179912765615,0.5277789780811324,0.0216176066422889
G27003700608342,126864.46577574968,0.787308902468859,0.5028154000152563,0.0216860870391026
G27003700608341,129303.59744918294,0.795809826897919,0.5101720918699478,0.021084941231784
G27003700608153,136083.54696789535,0.8033810077517837,0.5277553451750122,0.0204108677584261
G27003700608163,132473.04759543878,0.80341607436278,0.5226969625224516,0.0211582099768722
G27003700608133,136155.24175824175,0.8050279553005315,0.516223945800499,0.0210909287281209
G27013900813022,117861.76937101183,0.7615105998570219,0.4977556373960431,0.0226155614150076
G27013900813024,114208.98586572436,0.7791434177421905,0.4925326944275365,0.0272454337756354
G27001900911003,125742.9931972789,0.7990857036726875,0.5272676753687701,0.0281318092117275
G27001900912021,118245.390070922,0.8406434786027499,0.5053455477619477,0.0268276256495731
G27001900912012,115644.0,0.8208110150618866,0.4769050566552265,0.0270006248047893
G27001900912013,106539.92233009708,0.7590219899879771,0.4632905447299325,0.0320409651391458
G27008509506004,,,,
G27001900912014,114544.3355704698,0.7971421322660904,0.5081453894340737,0.0283293374074618
G27013900808022,122988.60405156536,0.7757834428333559,0.490923223943547,0.0230785140875777
G27013900808013,116482.63725490196,0.7599983109696686,0.4976591317490318,0.0257550196267891
G27013900810012,134442.4856175973,0.8069646087962346,0.5156152018901606,0.0205828516872095
G27013900809083,134783.64686998396,0.7942622514212018,0.5196574572307157,0.0191338483673209
G27013900809032,134512.11611785096,0.8018873567911511,0.5145134559048079,0.0181642470593844
G27013900809082,136219.43044619422,0.8005219018810117,0.5230572987524494,0.0196080023083006
G27013900809072,138373.93644859814,0.8087276414825565,0.5372402959210943,0.0200010973548544
