,GEOID,r_income,r_pbb,r_upr,r_wr
0,1.2086E+11,100943,0.3492822799386469,0,0.4020978974114464
1,1.2086E+11,55789,0.051319647,0,0.20570264556310952
2,1.2086E+11,86215,0.15624999389648464,0,0.3755215524962232
3,1.2086E+11,52866,0.082242363,0.014382154,0.36767241220830854
4,1.2086E+11,0,0.02238806,0.012581781516951275,0.20698466692084894
5,1.2086E+11,88457,0.3456153253823484,0,0.4240069066320945
6,1.2086E+11,65609,0.39920424138458727,0.010088272319746076,0.33382066114122483
7,1.2086E+11,80212,0.3281105960542802,0.069813829,0.2778483681582026
8,1.2086E+11,24451,0.041714948,0.063867016,0.092307692
9,1.2086E+11,31333,0.15700482712548727,0.020089285,0.10884353667453377
10,1.2086E+11,0,0.2129760195631027,0.053262316,0.4036231854809914
11,1.2086E+11,74182,0.3296398800653773,0.074446679,0.4155509762330022
12,1.2086E+11,7099,0.024680073,0.035528596,0.10142179998652323
13,1.2086E+11,39963,0.07554945,0.009022556,0.19666902836049244
14,1.2086E+11,26488,0.098739494,0.056801195,0.19705014633008763
15,1.2086E+11,38294,0.30315614366149385,0,0.2320633338344219
16,1.2086E+11,35000,0.23129251475906207,0.1006825929975888,0.2690582942404978
17,1.2086E+11,86500,0.23797595071154334,0.080054894,0.4012487663448939
18,1.2086E+11,111703,0.3735076726918268,0.012735608697220537,0.3070945935571128
19,1.2086E+11,60208,0.096170212,0.056733524,0.22734374822387698
20,1.2086E+11,24432,0.21715328070888174,0,0.23702185630449552
21,1.2086E+11,102125,0.45695364060399823,0.00943666,0.3118279562441387
22,1.2086E+11,61603,0.4196141445368638,0.035759096,0.2859589031302777
23,1.2086E+11,130125,0.356783914,0,0.4648888847565433
24,1.2086E+11,74952,0.34499999137500026,0.089999998,0.24500767860977204
25,1.2086E+11,52406,0.081018518,0.027370479,0.3155038735232258
26,1.2086E+11,0,0.082524271,0.0330351,0.2634836416291616
27,1.2086E+11,43958,0.27949182795840605,0.046176046,0.27925116786855564
28,1.2086E+11,35704,0.053435114190046304,0.022330097,0.275888132
29,1.2086E+11,89583,0.3847517696387255,0.01090604,0.2662440556458317
30,1.2086E+11,71750,0.43736730051403183,0.030303030129771126,0.2870789326944247
31,1.2086E+11,41964,0.1270491777244021,0.017035774837550685,0.30630630324017716
32,1.2086E+11,23043,0.1136865329615173,0,0.28648284945203195
33,1.2086E+11,71792,0.32009437546168157,0.037949401,0.26244486369740117
34,1.2086E+11,41742,0.039779005085314866,0.050847457216727544,0.2812654459650744
35,1.2086E+11,74922,0.2664035507330856,0.073953677,0.2750567620011133
36,1.2086E+11,63333,0.21052631436891825,0,0.4137316076070815
37,1.2086E+11,59840,0.12854250882041995,0.005602241,0.2782462041694986
38,1.2086E+11,51667,0.058766859,0.035008976,0.3454120377240676
39,1.2086E+11,88759,0.11931818106491048,0,0.308563338
40,1.2086E+11,94107,0.24762658031940998,0.003443526,0.5175958856560068
41,1.2086E+11,66524,0.254531125,0.028591851117999636,0.3181607045138843
42,1.2086E+11,88565,0.3805612568065622,0.043902439,0.24719101036800908
43,1.2087E+11,0,0.070796459,0.14760147419924385,0.173173171
44,1.2086E+11,35211,0.020905923,0.049627791,0.400184839
45,1.2086E+11,0,0.051787016398344154,0.059345156484685156,0.3323207756238106
46,1.2086E+11,83700,0.061904760922146654,0.048850574,0.3593974149254131
47,1.2086E+11,71429,0.1596423989828557,0.017435897,0.31319702311155184
48,1.2086E+11,104386,0.2641315491867261,0.012955465,0.5064377651352682
49,1.2086E+11,73285,0.3208955211906883,0.022776911005376252,0.2539645516465379
50,1.2086E+11,32311,0.16620305864949195,0.046121593,0.2865342150704891
51,1.2086E+11,0,0.15034168393688288,0,0.40816326197417746
52,1.2086E+11,31751,0.066249348,0.042905692256135546,0.19917324239318585
53,1.2086E+11,69028,0.16755318703315994,0.038543896,0.28245363363118925
54,1.2086E+11,33869,0.070680628,0.035312379,0.22577388887693844
55,1.2086E+11,140198,0.37942477456388524,0.014925372995099133,0.5151057362907422
56,1.2086E+11,137216,0.2755511008238923,0.012969588492980372,0.48534482549420327
57,1.2086E+11,43019,0.2884955739447098,0.02658046,0.20650851518701788
58,1.2086E+11,52165,0.20077719947179795,0.051724137,0.3013355567501206
59,1.2086E+11,102583,0.5078218952127329,0.029978586402798862,0.19837398266463965
60,1.2086E+11,30240,0,0.016018306269603978,0.23393939110376497
61,1.2086E+11,86110,0.2638986610563078,0.057057056714372036,0.22066458867775396
62,1.2086E+11,30144,0.15885797833925347,0.078584283,0.1560209415915134
63,1.2086E+11,45556,0.1997593237092741,0,0.19972451698932728
64,1.2086E+11,156445,0.3046964455361232,0,0.4901593206170635
65,1.2086E+11,78174,0.087441063,0.13522012525463786,0.21762785557625006
66,1.2086E+11,51260,0.092736705,0.070921985,0.20404411639678852
67,1.2086E+11,30601,0.052697615399026156,0.12067510446687676,0.15818058276863148
68,1.2086E+11,54145,0.16163792929269474,0.026768642191504377,0.3060217146493414
69,1.2086E+11,75269,0.2198019780217626,0.018633540207333273,0.25634995175752606
70,1.2086E+11,89808,0.27084927107230855,0.050795593324384374,0.382524269
71,1.2086E+11,111000,0.16461748521436145,0.034271099568945786,0.5397987141829944
72,1.2086E+11,93073,0.1704761896643991,0.042259594,0.269700671
73,1.2086E+11,0,0.27602158615249356,0.031778228317929494,0.1959342552078968
74,1.2086E+11,77162,0.2996471766641956,0.027106393,0.2776947699515587
75,1.2086E+11,66571,0.1787819235876039,0.020979021,0.263132294
76,1.2086E+11,79965,0.38446601835099575,0.021619024689841403,0.26543095409558676
77,1.2086E+11,83947,0.1430656913421067,0,0.44762683758079513
78,1.2086E+11,75179,0.23535510505259147,0.036086956364839315,0.22086769372223844
79,1.2086E+11,89828,0.3206360934887718,0.042147986,0.2519770923043984
80,1.2086E+11,63523,0.15267175378280212,0,0.20887096605749222
81,1.2086E+11,100502,0.16111111055169752,0.057888763,0.2910835654095019
82,1.2086E+11,100833,0.40650653570536166,0.032626427,0.22384016216755814
83,1.2086E+11,78354,0.2545454527654164,0,0.20810126476910754
84,1.2086E+11,76071,0.24754760388027927,0.060796645,0.25333333233986927
85,1.2086E+11,115673,0.14166666498015876,0.040983606,0.5513307942864578
86,1.2086E+11,58750,0.5267857025271049,0.053571427,0.401952082
87,1.2086E+11,110158,0.20506485358205773,0.053814002,0.18980848088300792
88,1.2086E+11,73625,0.29292343217561817,0,0.19872110084249336
89,1.2086E+11,56622,0.25315005437399707,0,0.1630669528826463
90,1.2086E+11,63883,0.2711864291870157,0,0.39285713860544225
91,1.2086E+11,65431,0.1682127386010344,0.030797946659832258,0.20547445180483775
92,1.2086E+11,49583,0.17961164757909956,0.010937499829101565,0.5638148588525266
93,1.2086E+11,55467,0.063583814,0.012422360094132173,0.4649971515936417
94,1.2086E+11,45043,0.1370106737186713,0,0.33691405920982365
95,1.2086E+11,56204,0.10606060498928682,0.013302034324710216,0.215759849
96,1.2086E+11,80403,0.2871452408716809,0,0.23722017962839897
97,1.2086E+11,59572,0.3423457717351646,0,0.17295226819990492
98,1.2088E+11,0,0.593648732,0.019583069996316677,0.8914626016448537
99,1.2087E+11,0,0,0,0
100,1.2087E+11,0,0,0,0
101,1.2086E+11,99202,0.48587895973556794,0.019908116,0.3402826843099552
102,1.2086E+11,93140,0.3188484501963691,0.018260869485822305,0.29466118945245795
103,1.2086E+11,44551,0.3981841712297773,0.06277533,0.37168141227451906
104,1.2086E+11,142768,0.4769975671429161,0.023060796,0.2832422560724749
105,1.2086E+11,47135,0.18113858435227956,0,0.33070036687361576
106,1.2086E+11,102236,0.4647218421660662,0.038392321305384995,0.35776058098424857
107,1.2086E+11,30991,0.2678185716218297,0,0.253521125
108,1.2086E+11,39696,0.11292719000108188,0,0.4269911457191245
109,1.2086E+11,0,0.23291925224721272,0,0.1516743259903196
110,1.2086E+11,68025,0.019950124190769972,0,0.33221476231363456
111,1.2086E+11,31495,0.019207682957937077,0,0.3155590914621604
112,1.2086E+11,82833,0.2293868897527813,0,0.4381538434575148
113,1.2086E+11,22072,0.023726447845593527,0,0.3006681501083824
114,1.2086E+11,51552,0.10828876860576513,0,0.3635593189528871
115,1.2086E+11,0,0.10937498291015892,0,0.2613908810218014
116,1.2086E+11,46132,0.2504451023712457,0.030161206291413386,0.29336349813965495
117,1.2086E+11,0,0.085399448,0.015852047346736495,0.28330206201812347
118,1.2087E+11,0,0,0,0
119,1.2086E+11,250001,0.6678765759006067,0.017035774837550685,0.37844036263256464
120,1.2086E+11,250001,0.7472527404097734,0.034341782,0.45829959143077253
121,1.2086E+11,0,0.810483838,0,0.3755364726279727
122,1.2086E+11,101563,0.7542372823248283,0.015936254874261258,0.3872275702624046
123,1.2086E+11,129702,0.597499996,0.007845504,0.4030710157271746
124,1.2086E+11,250001,0.7658682588870164,0.008264463,0.4314252768673635
125,1.2086E+11,180295,0.8346303339566084,0.028619528137718384,0.36077481403420325
126,1.2086E+11,250001,0.906412463,0,0.40147058528330454
127,1.2086E+11,101875,0.7612958161867365,0.026011560505696817,0.44988066557350437
128,1.2086E+11,34130,0.07165605,0.13233376706431704,0.099999999
129,1.2086E+11,85385,0.16853932110844605,0,0.19783197563913313
130,1.2086E+11,59048,0.07392197,0.060194174,0.1101749830837655
131,1.2086E+11,74458,0.3625792792675514,0.026392961747834988,0.317146539
132,1.2086E+11,43417,0.2162650589381623,0.007970244,0.2856294519855733
133,1.2086E+11,35653,0,0.13186813025802038,0.17689530473050175
134,1.2086E+11,19148,0.093059935,0,0.084840054
135,1.2086E+11,63824,0.1528013556400449,0,0.26987060748733266
136,1.2086E+11,0,0.4659498124381754,0.07366771,0.42939149908850177
137,1.2086E+11,0,0.076134699,0,0.036927621
138,1.2086E+11,27423,0.11199999872000002,0.036832412,0.18523401328125239
139,1.2086E+11,89145,0.2821670407662375,0.034143138318167184,0.2566978177152784
140,1.2086E+11,34931,0.159253944,0.024193548237012728,0.21901443395214318
141,1.2086E+11,74913,0.17924528113998658,0.061054579,0.17797137412587818
142,1.2086E+11,28661,0.055837563,0.1009036129381986,0.15804327226676132
143,1.2086E+11,88800,0.348082591,0.046979865141209866,0.3604108276338858
144,1.2086E+11,0,0.1425015548070843,0.048331415141936625,0.21548117042112358
145,1.2086E+11,63142,0.025901942,0,0.2749445655953838
146,1.2086E+11,73697,0.11694152748213603,0.051612902559833515,0.4023904342391391
147,1.2086E+11,0,0.1666666642720307,0.014101057413618598,0.16469594455493292
148,1.2086E+11,64985,0.5256653942427244,0.005862647,0.30514705695375577
149,1.2086E+11,105625,0.11406843672743587,0,0.30101569435811915
150,1.2086E+11,82719,0.25511810621861253,0,0.3368121410169626
151,1.2086E+11,68971,0.30262045390853376,0,0.3291848143796838
152,1.2086E+11,102639,0.44416403505259283,0.018994413,0.4125109343284736
153,1.2086E+11,42233,0.17925736006072523,0,0.34601226569310106
154,1.2086E+11,81591,0.38146021016029363,0.10160427729866862,0.4718379423328165
155,1.2086E+11,155595,0.3878205097129767,0.006637168,0.370235932
156,1.2086E+11,22500,0.2692982432517698,0.066204772,0.4979873461875368
157,1.2086E+11,128068,0.45488721462490816,0.025675676,0.513603551
158,1.2086E+11,47972,0.024630541467478794,0,0.28506786900350123
159,1.2086E+11,28520,0.2169014064140713,0.003257329,0.16446233372937127
160,1.2086E+11,56161,0.1139510105010542,0.04388422,0.21428571232339091
161,1.2086E+11,79125,0.3376811545263601,0,0.22451317039503815
162,1.2086E+11,75583,0.15466101531079432,0.022748815,0.2591431529870099
163,1.2086E+11,0,0.25324674913560474,0.012278308154456916,0.2592592566640715
164,1.2086E+11,99760,0.3346153824704142,0.012813045935858788,0.27559395129333064
165,1.2086E+11,77966,0.23751387083780387,0.016528925,0.384415581
166,1.2086E+11,48523,0.13413173492057803,0.043352601,0.2698019779719309
167,1.2086E+11,103224,0.2355623064504209,0.036144578,0.3896103859961931
168,1.2086E+11,56477,0.17654476448241155,0.037204058,0.23684210295475533
169,1.2086E+11,0,0.2621744039514473,0.030818278263452296,0.23426715292623973
170,1.2086E+11,166073,0.3967902579037617,0.014279134,0.28057221836376456
171,1.2086E+11,0,0.21524201632088552,0.017298187666407023,0.261749346
172,1.2086E+11,48400,0.10751104407200231,0,0.32377048848595813
173,1.2086E+11,57450,0.073669849,0.017367458707792882,0.091194968
174,1.2086E+11,62031,0.08108108,0.022222221893004122,0.22918706925379953
175,1.2086E+11,71697,0.16631755271756365,0.025110782772855306,0.17662508149499315
176,1.2086E+11,73738,0.14843749884033205,0,0.23054331695636332
177,1.2086E+11,54095,0.3774080527372325,0.029279279059464872,0.38119369154733285
178,1.2086E+11,94583,0.2196969663682278,0.020075282,0.5214007741525232
179,1.2086E+11,0,0.52219872,0.027888446,0.5418551974903258
180,1.2086E+11,143254,0.6162005726499463,0.055833333,0.5534223659981439
181,1.2086E+11,216667,0.7771428423401364,0,0.5283553825297223
182,1.2086E+11,162574,0.5163265253436069,0.018399263860172366,0.48910751588821144
183,1.2086E+11,166786,0.6034482654577885,0,0.5266015143691475
184,1.2086E+11,153438,0.6093590985823083,0.006724303,0.45474372459385254
185,1.2086E+11,195250,0.5827538166515464,0.05732484,0.49007148141325274
186,1.2086E+11,199010,0.6895074798820668,0.034749034078203976,0.5241596583596675
187,1.2086E+11,250001,0.8461538341003728,0.034602076,0.5720476644415204
188,1.2086E+11,80900,0.2545787522474473,0.011718749908447266,0.26031433928964304
189,1.2086E+11,36500,0.19157608565505377,0.195402298,0.060246913282731296
190,1.2086E+11,134875,0.30825958247404744,0.046258502771993164,0.2103055709388522
191,1.2086E+11,67326,0.2085505713394101,0.038427166770087874,0.28303108624979867
