CBG_ID_v,Income_v,Wp_v,Pbb_v,Upp_v
G12008600115004,81274.45746818486,0.3550556040700622,0.3146431049668906,0.0229033252164588
G12008600114051,73870.91309476996,0.3279324340146649,0.2785908564313252,0.0246209110737892
G12008600114111,74166.2626832018,0.3138317815304873,0.2974767707876456,0.0267064813096582
G12008600114093,85602.21129986638,0.3626956942201254,0.3549455303002796,0.0261551615268821
G12008600114052,68905.21298405467,0.3136535305143507,0.247729128458093,0.0241763412963436
G12008600114102,77089.51242764726,0.3097807139278484,0.3050445270650251,0.028393653291358
G12008600114112,72101.50131463629,0.3147449620836238,0.2712008240094928,0.0313464340474584
G12008600114101,74498.3175787728,0.3143740070726988,0.2958239558889933,0.0255053370909328
G12008600113022,60062.49263721553,0.2936993301046113,0.208318068403147,0.0247389526110323
G12008600113013,66281.70514905149,0.3070736756447031,0.2381240905044254,0.0260855318960154
G12008600114091,75038.11554369579,0.3207380273920567,0.288035064852059,0.0274911453118426
G12008600114092,68753.39245585875,0.3094696161763415,0.2611566994455004,0.0283745656064354
G12008600113012,65249.19025522042,0.3043535021177723,0.2278013205088283,0.0251953707172253
G12008600112051,67474.22958057396,0.3182594209100069,0.2230195575673604,0.023512550624831
G12008600113023,63070.71196581196,0.3059182043762976,0.2208188198438615,0.0232624880724895
G12008600111032,63655.4578527063,0.3049440646089733,0.2406262746516299,0.0291634541278509
G12008600110101,71529.73720136519,0.3152896162715413,0.2803537482042685,0.0264448620021552
G12008600110142,71058.15946071595,0.3098912223097704,0.2787092218616032,0.0277856797360935
G12008600110151,73104.78760255242,0.2968127073133781,0.3003935321368068,0.0314132344831273
G12008600113011,68634.53062913907,0.3108707925917284,0.2466646128363162,0.0259299736980415
G12008600111043,71610.07826239888,0.3132360712058306,0.2690587038143902,0.027677474073446
G12008600110152,71671.34081871345,0.3047517633279984,0.2777713982780661,0.0299861587770658
G12008600110153,73188.6581733951,0.3010869868890271,0.2815488235908263,0.0303865613121917
G12008600115001,75175.34285714285,0.3403779592705097,0.2615594248850131,0.0223526234612345
G12008600110102,72499.86677115987,0.3115596941021002,0.2768040444869014,0.0281433703831751
G12008600112052,71156.18282208589,0.3271585945269668,0.2471425476519953,0.020195032481073
G12008600113021,68285.70469361148,0.3226051416727279,0.2341899834926299,0.0229156850380021
G12008600111031,68354.27379751093,0.3112332876391958,0.2470062804997651,0.0277263205686551
G12008600110103,69362.79842080818,0.313489747165181,0.2668936066197281,0.0297852180486321
G12008600110141,72309.25191288993,0.3088620708790937,0.2852591777254083,0.0294254315330478
G12008600110082,72053.6749084249,0.2910664398956419,0.2847868826545996,0.0337936091278744
G12008600110121,71624.74608535462,0.3069311225241581,0.2683704749534967,0.0300947672374805
G12008600111044,69256.91515151515,0.3324167051702159,0.2297572935385022,0.0241168479738051
G12008600110093,73176.49375520399,0.2944969386579639,0.296191866747901,0.0328948757541883
G12008600110111,69720.5809296782,0.3129364704055259,0.2584548802847475,0.0281328618112155
G12008600110091,75046.47619047618,0.293678141726918,0.3088995690351905,0.0303629707655841
G12008600111062,69612.23519599666,0.3180613863593935,0.2447835231595977,0.0272683319949041
G12008600110032,64824.55827765405,0.3137825367787246,0.2334495900530327,0.0288052799699731
G12008600110122,63076.80892608089,0.3004976884184515,0.2204294480136274,0.0266366585594453
G12008600110031,62928.82777179763,0.3069786537951705,0.2153141433443259,0.0291260585096893
G12008600112041,71828.46380223661,0.3305923513381819,0.2508575742699558,0.0238105915099552
G12008600110131,69169.80901978831,0.3002352210656018,0.2643413415578167,0.0299115187143235
G12008600110081,69875.36607608129,0.294909492451546,0.2673286521816279,0.0315227885856946
G12008609807001,71010.18558456299,0.2856756043236211,0.2812065207294816,0.0334478253912053
G12008600109003,67926.87098009189,0.3094329353902667,0.2382383205009104,0.0299244796511847
G12008600109004,67657.49168797953,0.3070256512829026,0.2308680223021062,0.0292807110795855
G12008600109001,63650.40563564876,0.2970999517050556,0.2293910227422434,0.0296592693847841
G12008600110132,63638.1542991755,0.2971329025912426,0.2222032720613317,0.0302128225041564
G12008600112062,76497.7811804009,0.3405066222296903,0.2770314726490607,0.0237368763948501
G12008600107052,70960.59646507665,0.2945262393239212,0.2719379287559735,0.0325408395387808
G12008600108051,67340.0581127733,0.2988424589739799,0.2424474908086173,0.0304842303253396
G12008600111061,73814.84926253687,0.3228357926839828,0.2642090719482107,0.0268920153108905
G12008600109002,71439.9822270584,0.3120561340400309,0.2612376713111171,0.0291577378213648
G12008600108061,71995.38450937155,0.2951797312232998,0.2759668422144333,0.0316721440768143
G12008600108052,66126.21373307543,0.2854453985830504,0.2450616704339214,0.0325189440520569
G12008600111051,77006.90836653387,0.3424410461912965,0.2660035577823549,0.0257778625953147
G12008600111052,70109.22365512159,0.3118372818697312,0.2568191819454985,0.0291082740179913
G12008600108062,71472.2796735905,0.2979573955920768,0.2727636648160764,0.0315665480756984
G12008600107051,69685.9991749175,0.2783783915432643,0.2661514081230466,0.0306302962249748
G12008600108042,62301.6149825784,0.2680053115852415,0.2496683702144751,0.0351976253656263
G12008600108044,69028.36776620371,0.2940570657827149,0.246977289972037,0.0307629473556336
G12008600107062,74273.47429707469,0.2864975677435303,0.2963631419546791,0.0308601433314701
