CBG_ID_v,Income_v,Wp_v,Pbb_v,Upp_v
G53004109718001,86000.0,0.7744525490915872,0.2170731680844735,0.018348623642791
G53004109720003,125179.421875,0.5298394563590557,0.5432631452315052,0.0381333707946663
G53005300701002,126374.23795359903,0.5570113925566519,0.5230201069417435,0.032327347212509
G53005300701001,122473.4371165644,0.6002775263412268,0.4499476800805629,0.0296681610920332
G53003300315021,119755.78585334198,0.6496387276423653,0.398064995264259,0.0295049758102376
G53003300327063,132880.8583802512,0.589977956088252,0.5174401335067108,0.0299510706085975
G53003300327062,138089.1535433071,0.6214972990265974,0.5171503228896883,0.0284189501884987
G53005300732005,114973.90604026846,0.5729686597318007,0.4573843890043558,0.0359666192735952
G53005300732004,117189.46815286623,0.6100730121682569,0.4121128773741738,0.0339042412297721
G53005300701004,106068.6746031746,0.6597955812257931,0.2979623983266664,0.0323508522124
G53005300702061,114682.96373056994,0.6968283102713609,0.3230529686978476,0.0248610154691259
G53005300702063,108573.52,0.6488872992325725,0.3191165262239409,0.0301704248473438
G53005300702062,113004.62216624685,0.677250109637304,0.3306271403507427,0.0302169444976791
G53005300702091,102338.76190476192,0.6139631298167695,0.3372604748690679,0.0335888427162991
G53005300702042,106563.73106060606,0.6802359436640293,0.3007929412856014,0.030321852172136
G53005300702043,100448.60215053764,0.6244017695058713,0.2625549611775649,0.0363401730492945
G53005300731223,119140.2683982684,0.6303919087637722,0.3851416076961725,0.029382323825776
G53005300731233,122147.0152284264,0.6138177159585801,0.3827847636398968,0.0266220637799909
G53005300702093,96940.81746031746,0.6090566953826018,0.2706544240290588,0.0348537653888488
G53005300704043,111873.42657342658,0.6550920064830275,0.329377780288219,0.0338528776996478
G53005300731231,116462.00561797751,0.6241898789644651,0.3630118991264141,0.0308027314980693
G53005300704044,123525.84265734266,0.6674874282381473,0.3759942113156838,0.0309457076292635
G53005300702082,103856.3309352518,0.5932893342534686,0.3421846201867741,0.0344517294228683
G53005300702083,107596.31696428572,0.6076585885412319,0.370855474115967,0.0324995577941391
G53005300731101,114550.05150214591,0.6336943602892774,0.3329635067961827,0.0302820630665274
G53005300731103,108410.8495049505,0.6376589370856524,0.3247668364514126,0.0344116952623051
G53005300702081,107261.21134020618,0.6389917602271387,0.3296772753168531,0.033143153961692
G53005300712113,112034.29629629628,0.6098541587070794,0.3274049882830548,0.0344505490048817
G53005300704012,110858.7266055046,0.647363416903671,0.3267200793371606,0.0331764328481514
G53005300712072,107507.66071428572,0.6372124312146347,0.3157969405192355,0.0345121528872737
G53005300703123,99785.19230769233,0.6153788525176844,0.308358040200517,0.0337090219939191
G53005300712104,111650.75350701404,0.6428898928147787,0.3353124528754277,0.0316562039582259
G53005300703101,107311.89811320754,0.6470471021848948,0.3268925764941137,0.0353942043371471
G53005300712093,115929.96323529413,0.6620702140033499,0.3349471208128991,0.0345803976176248
G53005300703103,111947.549512987,0.6668699345926257,0.3203803288884939,0.0299744403818289
G53005300703122,105216.9109947644,0.5913916881177335,0.3344176983069498,0.0342157068812345
G53003709751011,162150.0,0.5833987092478892,0.6694153190035321,0.0393873595942738
G53007700030031,,,,
G53003709752013,120336.0,0.4199295459619107,0.2897851758355206,0.1300512132565514
G53006100538013,130570.25636942674,0.6285073727295859,0.5274390240598187,0.0300174152562059
G53006100537001,121301.59904534608,0.627869838329442,0.4806017729786028,0.030444737899263
G53005709511022,,,,
G53003300327051,139839.0646599777,0.6045538223571735,0.5307373469496262,0.0303980349977045
G53003300327061,139807.73640167364,0.6160185160536222,0.5175349760976885,0.0284540335493447
G53003300327041,136381.7724913495,0.5956905297936967,0.5285649400723567,0.0289851882076513
G53003300327042,136619.66513056835,0.6143738945380535,0.5280596819659993,0.0280644362645226
G53003300327044,136824.93847917463,0.5966528232659676,0.5262340632427388,0.0288054351728348
G53003300327043,144474.8830369357,0.6191954632249678,0.5575666485794889,0.0263255006162474
G53003300328002,150781.55992844366,0.6038198249682442,0.590271310685416,0.0254753747521393
G53003300328001,138985.431539691,0.5817982535828466,0.557530908862878,0.0281079128899747
G53003300328003,130454.06565656564,0.6273113011990068,0.5170281223198039,0.0293319511221217
G53003300325001,147475.58783783784,0.6783562532088991,0.5584833055530396,0.0264212324656712
G53005300731192,108242.73333333334,0.6403713354193944,0.3258221758653766,0.0321043054908947
G53005300731191,111519.71283783784,0.6555270861913876,0.3388966475105894,0.0333834034834319
G53005300731182,106551.96598639456,0.6202792904806075,0.3287061794123951,0.0325470051764705
G53005300731184,105965.46428571428,0.6164491827247206,0.3051040171360187,0.0334501245590481
G53005300731183,104767.57142857143,0.6263137528573449,0.2985958344205254,0.0356051141300099
G53004109718002,,,,
G53005300732003,113253.80787781352,0.5902159849573686,0.4263569119500021,0.0351357827565629
G53005300732001,100529.96511627908,0.6431837036001053,0.329162919952748,0.0327632675055228
G53005300732002,110008.11258278144,0.629379846096903,0.3810950005719994,0.0361650875928098
G53005300731173,104546.34054054054,0.6638153772362063,0.3164730046824719,0.0338864945831263
G53005300731172,106367.32627118644,0.6563839286563192,0.3072360400554725,0.0335616843160329
G53005300731171,95188.80921052632,0.6126749097519048,0.2706912896658381,0.0351781326650377
G53005300731163,104270.8,0.6008643770756438,0.3032108136215673,0.0361902239735597
G53005300731162,105800.99159663866,0.6453562113869028,0.2899757295231013,0.0323932698455572
G53005300731152,91843.24731182796,0.5795385616379494,0.2638840285732239,0.0428786105013197
G53006700125101,115378.5,0.7213856887142442,0.2494131784023727,0.0237563485974583
G53005300730063,100144.33663366336,0.622947552914113,0.3291457301553893,0.0360089645115629
G53005300730061,108043.11764705884,0.6670432204813371,0.325552333533103,0.0331499520280949
G53005300730054,103025.90607734806,0.6597417083855982,0.3000414289085886,0.0355703115895829
G53005300730053,98673.19834710743,0.6092310043658203,0.2855707024898835,0.0391185012270902
G53005300730014,93774.8375,0.6088570412792312,0.2801413162337448,0.0328507590146698
G53005300730052,98647.46551724138,0.6304388333430239,0.2756551066902721,0.0425035393026951
G53005300730051,98217.53289473684,0.613649824092228,0.286787600161131,0.0326502182062219
G53005300731142,87941.60824742269,0.5887416412577904,0.280178603602078,0.0351506177416489
G53006700125322,,,,
G53005300730062,99315.64848484848,0.6320274378649248,0.2897061412515321,0.0417007835551738
G53006700124121,,,,
G53005300730011,105811.86818181818,0.6398871354581993,0.2977294401262787,0.0364554217687636
G53005300730012,98078.0054054054,0.6005323415026851,0.3010780991710227,0.0332019942404217
G53006700124221,,,,
G53006700124224,,,,
G53005300730013,94848.67676767676,0.5395175784689374,0.2922032632655527,0.0405177909616735
