,CBG_id_v,Income_v,Wp_v,Pbb_v,Upp_v
0,G48032107302032,,,,
1,G48048107406001,,,,
2,G48048107405001,,,,
3,G48003906642003,100575.05598086125,0.4334535380618828,0.4092156753052946,0.0356535920229451
4,G48016707261021,105508.8303782506,0.5046113288125708,0.4285622415739458,0.0351669701670618
5,G48016707261011,105749.55865633074,0.522433492055561,0.4424806600847932,0.0339928279497221
6,G48003906617001,89748.53556485356,0.4942081972397092,0.3361462641407629,0.0316871847175333
7,G48016707236003,93770.91036414566,0.5562285627464438,0.3588932087075778,0.0315082973987309
8,G48016707238002,89542.88557692307,0.5134620164801872,0.3642517338799605,0.0348164018553734
9,G48016707236002,86428.80571428571,0.5472014294215127,0.3345159106585181,0.0310616904795603
10,G48016707238003,88430.01538461538,0.5120276993121797,0.3558688123830056,0.030804065274635
11,G48016707235052,89104.0,0.5433368122973035,0.3182317970734798,0.0305065795509094
12,G48016707237002,84601.59925093633,0.5779995520178554,0.3440356855154896,0.032894594890359
13,G48016707260001,93777.85053380782,0.5014821197641377,0.4033324885879599,0.0360354300538743
14,G48016707259002,84817.91161928307,0.5047890509284618,0.3787447738784469,0.0366769643190221
15,G48016707256001,84925.5307219662,0.5080703685888186,0.382705683166555,0.0351602662202249
16,G48016707260002,99321.14285714286,0.589698237969188,0.4448218552756583,0.0283893421381559
17,G48016707257002,84290.3448275862,0.5231683646892524,0.377908755476492,0.0354271596281309
18,G48016707256004,79284.0673486786,0.5072405352047769,0.3680306077138677,0.038534313677505
19,G48016707259001,86928.59221249622,0.4735521637137183,0.3669128324259332,0.0380458552340858
20,G48016707257001,79256.0477117819,0.5146455601827866,0.3708276257972178,0.0353645828459099
21,G48016707256003,84582.52048638646,0.4951139286410059,0.3716650087959449,0.0376889923457775
22,G48016707256002,86309.80720687762,0.480620931986727,0.3696727388958089,0.0372225246312299
23,G48016707258001,79814.65656565657,0.5000815411641919,0.3518243273470919,0.0342417622920551
24,G48016707255002,81842.744,0.499804847681794,0.364215650230217,0.0383005356991415
25,G48016707258002,86559.64460014497,0.490405992091856,0.375181815287709,0.0366840863904246
26,G48016707255001,70601.60545905707,0.5172570382287418,0.3474048081215742,0.0365588538904126
27,G48016707254002,69642.0229468599,0.5144691983381583,0.3553577389753976,0.0389583500072471
28,G48016707241012,84561.34273624823,0.477825305323317,0.3639611314464294,0.0380872651048268
29,G48016707250003,69865.81619256017,0.4974515512778602,0.3396750772006174,0.0346048331287042
30,G48016707258003,89658.44545840408,0.4784948233055031,0.3702125221706231,0.0360311100298591
31,G48016707254004,69859.02864583333,0.4961172189784297,0.3430367580849114,0.0387947636566788
32,G48016707254003,72271.39923954372,0.5146592305734604,0.356168030905731,0.0384207614592693
33,G48016707250002,72470.60730593608,0.5174253917732891,0.3632426941638949,0.037078809014192
34,G48016707249003,78688.77689873418,0.5070020680789277,0.3613739591808536,0.0378130093410723
35,G48016707253001,87355.5268235294,0.4799941876724054,0.372408679720221,0.0365500798374328
36,G48016707254001,66005.28465346535,0.5240391894140974,0.3520672390881919,0.0373846126040435
37,G48016707250001,70578.77611940299,0.5180569714727852,0.3443948701576577,0.0392449798588516
38,G48016707249002,77511.9652173913,0.5243077890681507,0.3781862993267806,0.0397033562166545
39,G48016707251003,75514.15513126491,0.5328243370725632,0.3693680583863762,0.0350771845172104
40,G48016707253002,66655.33697632058,0.4996310384711966,0.3339109241141222,0.0358403761077639
41,G48016707252002,79471.1323024055,0.4814087231267452,0.3514615384547096,0.0378042451500144
42,G48016707249001,75911.36160714286,0.5159807610024789,0.358591608737714,0.0394697538923606
43,G48016707248002,77863.00477489768,0.5006531482138734,0.3585764950630754,0.0407562206646399
44,G48016707251002,72806.38797814208,0.5350777956667149,0.3639523218962878,0.0356621268837116
45,G48016707252001,69720.05522208883,0.4861655691519912,0.3363432845391437,0.0375180373921887
46,G48016707248001,75839.60615384615,0.5091654227963767,0.3663235608503094,0.0414436800680054
47,G48016707247002,74368.31818181818,0.5145313381879416,0.3634420660674848,0.040208586702823
48,G48016707251001,73617.04213483146,0.4822008943006132,0.3338342715823567,0.0384656437226065
49,G48016707240002,84810.61121673005,0.4757187173940066,0.359699862523931,0.0367500427813886
50,G48016707244001,77575.58079268293,0.5110050203664716,0.3652345722983182,0.0368218651515197
51,G48016707247001,76497.15820642978,0.4975572904027157,0.3576081577828132,0.0385825694121369
52,G48016707246001,77048.45587375804,0.4858029928506233,0.3488991414634033,0.0372518094636706
53,G48016707244004,69154.51703406814,0.5157527483735262,0.3703106904861668,0.0428176010042678
54,G48016707244003,70308.02296819788,0.5295305410059237,0.3617648162512182,0.0448398270186916
55,G48016707244002,75603.21376571807,0.5079700584367322,0.3678777858955969,0.0389412537144296
56,G48016707245001,89317.01321138212,0.5192289267405621,0.3916871276727827,0.036158544265512
57,G48016707243004,79475.28671328671,0.5300817866203207,0.3979467283299243,0.0399881271805674
58,G48016707243002,73141.10079275198,0.4861209890902674,0.3556807694098319,0.0367779078038607
